Device,Plant,Truss,Total flowers,Budding,Transition B to O,Open,Closed,Setting,Broken Sets,Treated(Y/N),Difference
A,1,101,19,7,2,4,,6,,y,0
A,1,102,18,10,3,5,,,,y,0
A,1,103,15,14,1,,,,,n,0
A,1,201,18,4,2,1,1,9,1,y,0
A,1,202,16,6,2,3,,5,,y,0
A,1,203,15,11,2,2,,,,y,0
A,2,101,24,8,2,3,1,10,,y,0
A,2,102,20,9,3,4,,4,,y,0
A,2,103,15,10,3,2,,,,y,0
A,2,201,21,5,2,3,,10,1,y,0
A,2,202,19,8,3,3,1,4,,y,0
A,2,203,16,11,3,2,,,,y,0
A,3,101,19,5,1,2,1,10,,y,0
A,3,102,17,5,3,2,3,4,,y,0
A,3,103,16,9,3,3,1,,,y,0
A,3,104,14,12,2,,,,,n,0
A,3,201,15,3,1,1,1,9,,y,0
A,3,202,16,6,2,3,1,4,,y,0
A,3,203,13,8,2,3,,,,y,0
A,4,101,21,4,3,2,,12,,y,0
A,4,102,22,8,4,3,1,6,,y,0
A,4,103,18,11,2,4,1,,,y,0
A,4,104,15,13,2,,,,,n,0
A,5,101,20,3,2,3,0,10,2,y,0
A,5,102,20,7,3,3,1,6,,y,0
A,5,103,18,9,4,3,,1,1,y,0
A,5,201,37,10,4,5,2,16,,y,0
A,5,202,19,8,4,3,1,3,,y,0
A,5,203,17,13,3,1,,,,y,0
A,6,101,17,5,1,1,1,9,,y,0
A,6,102,15,7,2,2,1,3,,y,0
A,6,103,11,7,4,,,,,n,0
A,6,201,28,4,1,4,2,16,1,y,0
A,6,202,17,8,2,2,2,3,,y,0
A,6,203,13,9,3,1,,,,y,0
A,7,101,37,15,6,6,1,9,,y,0
A,7,102,19,10,3,5,1,,,y,0
A,7,201,31,6,4,4,,16,1,y,0
A,7,202,13,6,2,2,1,2,,y,0
A,7,203,11,8,3,,,,,n,0
A,8,101,22,4,2,2,3,8,3,y,0
A,8,102,18,4,4,3,1,6,,y,0
A,8,103,18,10,3,5,,,,y,0
A,8,201,20,4,3,3,,9,1,y,0
A,8,202,20,9,3,4,,4,,y,0
A,8,203,39,33,5,1,,,,y,0
A,9,101,6,,,2,1,3,,y,0
A,9,102,7,2,3,2,,,,y,0
A,9,201,7,,1,1,1,4,,y,0
A,9,202,6,,3,2,1,,,y,0
A,10,101,8,1,,1,2,4,,y,0
A,10,102,7,2,2,1,1,1,,y,0
A,10,103,7,7,,,,,,n,0
A,10,201,7,,,2,1,4,,y,0
A,10,202,8,3,3,2,,,,y,0
A,11,101,8,2,,1,2,3,,y,0
A,11,102,5,3,1,1,,,,y,0
A,11,201,7,,1,3,,3,,y,0
A,11,202,6,4,2,,,,,y,0
A,12,101,8,2,,1,2,3,,y,0
A,12,102,8,3,3,2,,,,y,0
A,12,201,7,,,1,1,5,,y,0
A,12,202,6,,2,2,2,,,y,0
A,13,101,8,3,,2,,3,,y,0
A,13,102,6,3,3,,,,,n,0
A,13,201,8,,2,2,1,3,,y,0
A,13,202,7,2,3,2,,,,y,0
A,14,101,7,,,1,,5,1,y,0
A,14,102,7,,,3,,4,,y,0
A,14,103,6,1,3,2,,,,y,0
A,14,201,8,1,1,2,2,2,,y,0
A,14,202,8,3,3,2,,,,y,0
B,1,101,17,2,2,3,1,8,1,y,0
B,1,102,17,4,3,4,2,4,,y,0
B,1,103,16,8,4,4,,,,y,0
B,1,104,15,13,2,,,,,y,0
B,1,201,15,3,,1,1,9,1,y,0
B,1,202,28,10,6,4,2,6,,y,0
B,1,203,15,9,2,4,,,,y,0
B,1,204,14,13,1,,,,,n,0
B,2,101,22,6,2,3,,9,2,y,0
B,2,102,19,9,2,2,1,5,,y,0
B,2,103,17,10,3,4,,,,y,0
B,2,201,16,0,2,1,1,10,2,y,0
B,2,202,19,8,2,4,1,4,,y,0
B,2,203,15,8,4,3,,,,y,0
B,3,101,19,5,2,4,,5,3,y,0
B,3,102,18,9,2,4,1,2,,y,0
B,3,103,16,12,3,1,,,,y,0
B,3,201,21,4,2,2,1,11,1,y,0
B,3,202,22,10,3,4,,5,,y,0
