Device,Plant,Truss,Total flowers,Budding,Transition B to O,Open,Closed,Setting,Broken Sets,Treated(Y/N)
A,1,101,19,3,1,2,1,12,,
A,1,102,17,5,1,2,1,8,,
A,1,103,17,8,3,3,1,2,,
A,1,104,18,16,2,0,0,0,,
A,1,201,14,0,0,1,,12,1,
A,1,202,17,4,0,2,,11,,
A,1,203,17,8,2,2,,5,,
A,1,204,14,9,3,2,,0,,
A,2,101,24,3,1,4,,16,,
A,2,102,24,6,3,4,,11,,
A,2,103,17,6,2,4,,5,,
A,2,104,16,9,3,4,,0,,
A,2,201,17,2,0,1,,13,1,
A,2,202,19,4,2,2,,11,,
A,2,203,14,3,2,4,,5,,
A,2,204,14,7,3,4,,0,,
A,3,101,18,4,0,0,0,14,,
A,3,102,16,3,0,1,0,12,,
A,3,103,13,2,1,3,0,7,,
A,3,104,12,3,2,3,2,2,,
A,3,105,25,18,5,2,0,0,,
A,3,201,14,2,0,0,0,12,,
A,3,202,15,4,0,1,0,10,,
A,3,203,13,4,1,1,2,5,,
A,3,204,18,8,4,6,0,0,,
A,4,101,21,2,0,2,0,17,,
A,4,102,22,3,3,3,0,13,,
A,4,103,20,6,2,4,1,7,,
A,4,104,16,8,0,4,1,3,,
A,4,105,12,8,2,2,0,0,,
A,4,201,18,3,0,0,1,14,,
A,4,202,18,2,1,2,1,11,1,
A,4,203,17,5,2,4,0,6,,
A,4,204,18,10,3,4,1,0,,
A,5,101,20,1,,1,1,15,2,
A,5,102,19,2,1,2,1,13,,
A,5,103,16,3,2,3,,8,,
A,5,104,18,8,3,4,1,2,,
A,5,201,34,3,,3,3,24,1,
A,5,202,18,3,1,3,,11,,
A,5,203,17,6,2,4,3,2,,
A,5,204,15,10,2,,,3,,
A,6,101,17,4,,,1,12,,
A,6,102,14,4,,3,1,6,,
A,6,103,11,5,,2,1,3,,
A,6,201,28,3,1,1,,21,2,
A,6,202,15,3,,3,,8,1,
A,6,203,10,4,,1,1,4,,
A,6,204,12,8,2,2,,,,
A,7,101,36,6,3,4,2,21,,
A,7,102,18,4,1,3,1,9,,
A,7,103,16,6,3,3,1,3,,
A,7,201,30,5,,1,,24,,
A,7,202,11,2,,1,,8,,
A,7,203,10,5,,2,1,2,,
A,8,101,21,3,,1,,15,2,
A,8,102,18,,1,3,1,13,,
A,8,103,19,3,3,3,1,8,1,
A,8,104,17,7,3,4,,3,,
A,8,201,19,2,1,1,1,14,,
A,8,202,21,5,2,3,,11,,
A,8,203,37,9,9,9,4,6,,
A,8,204,13,6,3,4,,,,
A,9,101,7,1,,,,6,,
A,9,102,8,3,,1,,4,,
A,9,201,8,1,,,,7,,
A,9,202,7,1,,1,,5,,
A,9,203,7,3,2,2,,,,
A,10,101,7,1,,,,6,,
A,10,102,6,1,,,,5,,
A,10,103,8,4,2,2,,,,
A,10,201,8,1,,,,7,,
A,10,202,8,2,,2,,4,,
A,10,203,7,5,2,,,,,
A,11,101,8,2,,,,6,,
A,11,102,7,6,,,,1,,
A,11,201,7,,,,1,6,,
A,11,202,8,4,,2,,2,,
A,11,203,14,7,7,,,,,
A,12,101,7,1,,,,6,,
A,12,102,7,1,,2,3,1,,
A,12,103,7,5,2,,,,,
A,12,201,8,1,,,,7,,
A,12,202,7,1,,,2,4,,
A,12,203,6,3,1,2,,,,
A,13,101,8,3,,,,5,,
A,13,102,6,3,,1,1,1,,
A,13,201,8,,,1,,7,,
A,13,202,8,2,,1,1,4,,
A,13,203,7,5,2,,,,,
A,14,101,7,,,,,6,1,
A,14,102,7,,,,,7,,
A,14,103,7,2,,1,1,3,,
A,14,104,6,5,1,,,,,
A,14,201,7,,,,1,6,,
A,14,202,8,2,,1,3,2,,
A,14,203,6,3,2,1,,,,
B,1,201,14,2,0,0,0,11,1,
B,1,202,22,2,0,1,2,17,,
B,1,203,15,4,1,3,1,6,,
B,1,204,14,5,3,6,0,0,,
B,1,205,17,14,3,0,0,0,,
B,2,101,17,3,0,1,0,12,1,
B,2,102,18,2,2,3,1,10,,
B,2,103,18,6,1,3,3,5,,
B,2,104,17,9,3,4,1,0,,
B,2,201,15,0,0,0,0,13,2,
B,2,202,15,3,0,2,1,9,,
B,2,203,12,4,0,1,0,6,1,
B,2,204,12,7,2,3,0,0,,
B,3,101,18,2,0,2,0,11,3,
B,3,102,17,2,1,4,2,8,,
B,3,103,15,4,2,4,0,5,,
B,3,105,15,9,3,3,0,0,,
B,3,201,20,3,0,0,1,15,1,
B,3,202,21,3,2,3,1,12,,
B,3,203,20,5,4,4,0,7,,
B,3,204,17,8,3,5,0,1,,
B,4,101,11,2,0,0,0,8,1,
B,4,102,15,3,0,1,1,9,1,
B,4,103,13,3,1,4,2,3,,
B,4,104,17,6,5,6,0,0,,
B,4,201,16,4,1,0,0,10,1,
B,4,202,14,4,0,2,0,7,1,
B,4,203,12,3,2,3,2,2,,
B,4,204,18,11,4,3,0,0,,
B,5,101,19,2,,1,1,13,2,
B,5,102,20,2,3,3,,12,,
B,5,103,18,5,3,3,1,6,,
B,5,201,19,2,1,2,1,13,,
B,5,202,17,4,2,3,1,7,,
B,5,203,14,7,2,3,1,1,,
B,6,101,16,1,,1,,10,4,
B,6,102,19,2,2,2,1,12,,
B,6,103,18,5,2,4,3,4,,
B,6,104,16,8,3,5,,,,
B,6,201,17,3,,3,,9,2,
B,6,202,13,4,,2,,7,,
B,6,203,11,5,2,4,,,,
B,7,101,35,4,,2,2,25,2,
B,7,102,18,2,1,3,1,10,1,
B,7,103,15,3,1,4,3,4,,
B,7,104,15,7,3,5,,,,
B,7,201,16,,,1,2,10,3,
B,7,202,14,2,,1,4,7,,
B,7,203,13,4,1,4,3,1,,
B,8,101,20,2,1,2,2,12,1,
B,8,102,20,3,2,4,1,10,,
B,8,103,14,4,1,6,1,2,,
B,8,104,9,5,1,3,,,,
B,8,201,15,5,1,3,,6,,
B,8,202,13,7,2,4,,,,
B,9,101,8,1,,,,7,,
B,9,102,7,4,,,,3,,
B,9,103,6,5,1,,,,,
B,9,201,7,,,,,5,2,
B,9,202,7,1,,1,1,4,,
B,9,203,5,1,1,3,,,,
B,10,101,8,,,,3,5,,
B,10,102,8,1,,1,3,3,,
B,10,103,7,2,1,4,,,,
B,10,201,7,,,,,7,,
B,10,202,8,,,2,4,2,,
B,10,203,7,1,2,3,1,,,
B,11,101,6,1,1,,4,,,
B,11,201,8,1,,,3,4,,
B,11,202,7,1,,1,2,3,,
B,11,203,6,4,1,1,,,,
B,12,101,8,1,,,1,6,,
B,12,102,7,2,,,2,3,,
B,12,103,7,4,,2,1,,,
B,12,201,8,,,,1,7,,
B,12,202,8,2,,1,1,4,,
B,12,203,6,4,,2,,,,
B,13,101,7,,1,,,6,,
B,13,102,7,7,,,,,,
B,13,201,8,1,,,1,6,,
B,13,202,8,3,,2,2,1,,
B,13,203,7,6,1,,,,,
B,14,101,7,1,,,1,5,,
B,14,102,7,3,,1,,3,,
B,14,103,7,7,,,,,,
B,14,201,8,1,,,1,6,,
B,14,202,7,3,,1,1,2,,
B,14,203,7,5,2,,,,,
C,1,101,33,4,0,2,0,25,2,
C,1,201,34,5,0,0,0,27,2,
C,1,202,19,3,1,2,1,12,,
C,1,203,16,3,3,2,1,7,,
C,1,204,14,6,3,4,0,1,,
C,2,101,20,0,2,4,0,14,,
C,2,102,20,4,3,4,0,9,,
C,2,103,18,7,3,4,1,3,,
C,2,201,19,3,0,2,1,13,,
C,2,202,19,6,2,3,0,8,,
C,2,203,16,7,3,3,2,1,,
C,3,101,20,3,0,2,0,14,1,
C,3,102,17,3,1,3,0,10,,
C,3,103,12,2,1,3,0,6,,
C,3,104,15,8,3,4,0,0,,
C,3,201,18,4,1,2,0,10,1,
C,3,202,15,2,1,4,0,8,,
C,3,203,14,6,2,3,1,2,,
C,3,204,12,9,2,1,0,0,,
C,4,101,20,2,,1,,15,2,
C,4,102,18,1,2,3,,12,,
C,4,103,19,4,3,3,1,7,1,
C,4,104,18,8,3,3,2,2,,
C,4,105,13,9,3,1,,,,
C,4,201,32,3,,,,29,,
C,4,202,19,2,2,2,2,11,,
C,4,203,15,4,1,3,3,4,,
C,4,204,15,7,3,4,1,,,
C,5,101,20,3,,1,1,14,1,
C,5,102,15,3,,2,1,9,,
C,5,103,15,5,1,3,1,5,,
C,5,104,13,7,3,3,,,,
C,5,201,28,4,,,1,22,1,
C,5,202,14,3,,1,,10,,
C,5,203,11,5,,2,1,3,,
C,5,204,9,6,2,1,,,,
C,6,101,16,3,,,1,12,,
C,6,102,15,4,2,,,9,,
C,6,103,14,6,1,2,1,4,,
C,6,104,15,10,3,2,,,,
C,6,201,16,1,,,,14,1,
C,6,202,16,5,,2,,9,,
C,6,203,11,5,,2,,4,,
C,6,204,21,17,4,,,,,
C,7,101,34,6,,1,2,24,1,
C,7,102,17,2,1,3,2,6,3,
C,7,103,16,4,2,3,1,6,,
