Device,Plant,Truss,Total flowers,Budding,Transition B to O,Open,Closed,Setting,Broken Sets,Out of Sequence,Treated(Y/N)
A,1,101,20,,,,,15,,2,
A,1,102,20,,,,,12,,,
A,1,103,21,,,,,8,,,
A,1,201,18,,,,,13,1,,
A,1,202,16,,,,,14,,,
A,1,203,17,,,,,8,,,
A,1,204,18,,,,,1,,,
A,2,101,26,,,,,20,,,
A,2,102,27,,,,,15,,,
A,2,103,18,,,,,10,,,
A,2,104,17,,,,,4,,,
A,2,201,22,,,,,12,,,
A,2,202,18,,,,,10,,,
A,2,203,17,,,,,8,,,
A,2,204,16,,,,,4,,,
A,3,101,18,4,,,,14,,,
A,3,102,17,3,,,,14,,,
A,3,103,13,2,,,,11,,,
A,3,104,12,1,1,2,,8,,,
A,3,105,25,14,4,3,3,1,,,
A,3,201,14,1,,,,12,1,,
A,3,202,13,2,,,,11,,,
A,3,203,13,4,,,1,8,,,
A,3,204,14,4,,3,2,5,,,
A,4,101,22,3,0,0,,19,,,
A,4,102,20,1,0,2,,17,,,
A,4,103,18,2,2,2,1,11,,,
A,4,104,21,7,3,2,1,8,,,
A,4,105,16,8,2,2,1,3,,,
A,4,201,19,4,0,0,,13,2,,
A,4,202,18,2,0,0,1,15,,,
A,4,203,17,2,2,2,1,10,,,
A,4,204,17,5,3,3,,6,,,
A,5,101,19,,0,,,17,2,,
A,5,102,19,2,0,,1,15,1,,
A,5,103,20,4,2,2,,11,1,,
A,5,104,20,7,2,3,,8,,,
A,5,201,35,3,,,,31,1,1,
A,5,202,18,3,,,1,14,,,
A,5,203,20,6,2,3,,9,,,
A,5,204,18,8,3,3,1,3,,,
A,6,101,18,6,,,,12,,,
A,6,102,16,6,,,,10,,,
A,6,103,12,6,,,,6,,,
A,6,201,28,2,,,1,22,3,,
A,6,202,15,3,,,,11,1,,
A,6,203,12,6,,,,6,,,
A,6,204,13,8,,2,1,2,,,
A,7,101,36,6,,2,1,27,,1,
A,7,102,18,2,1,1,1,13,,,
A,7,103,17,4,2,3,,8,,,
A,7,201,33,7,,,,25,1,,
A,7,202,13,4,,,,9,,,
A,7,203,10,5,,,,5,,,
A,8,101,22,3,,,,16,3,,
A,8,102,18,,,,1,17,,,
A,8,103,21,5,,2,1,12,1,,
A,8,104,18,4,3,2,1,8,,,
A,8,201,18,1,,,,17,,,
A,8,202,23,4,2,2,1,14,,,
A,8,203,41,11,3,5,3,19,,,
A,8,204,17,6,3,4,1,3,,,
A,9,101,6,,,,,5,,,
A,9,102,7,,,,,7,,,
A,9,201,7,,,,,6,,,
A,9,202,7,,,,,1,,,
A,9,203,6,,,,,,,,
A,10,101,,,,,,,,,
A,10,102,6,,,,,5,,,
A,10,103,7,,,,,2,,,
A,10,201,7,,,,,7,,,
A,10,202,7,,,,,6,,,
A,10,203,6,,,,,,,,
A,11,101,8,,,,,5,,,
A,11,102,7,,,,,1,2,,
A,11,201,7,,,,,7,,,
A,11,202,6,,,,,4,,,
A,11,203,7,,,,,,,,
A,12,101,7,,,,,6,,,
A,12,102,6,,,,,5,,,
A,12,103,5,,,,,,,,
A,12,201,7,,,,,7,,,
A,12,202,6,,,,,6,,,
A,12,203,6,,,,,2,,,
A,13,101,7,,,,,3,,,
A,13,102,7,,,,,2,,,
A,13,201,8,,,,,7,,,
A,13,202,8,,,,,6,,,
A,13,203,7,,,,,,,,
A,14,101,7,,,,,5,1,,
A,14,102,7,,,,,7,,,
A,14,103,7,,,,,5,,,
A,14,104,5,,,,,,,,
A,14,201,7,,,,,7,,1,
A,14,202,7,,,,,6,,,
A,14,203,6,,,,,,,,
B,1,101,19,,,,,16,,,
B,1,102,23,,,,,18,,,
B,1,103,21,,,,,8,,,
B,1,104,22,,,,,10,,,
B,1,201,19,,,,,13,1,,
B,1,202,21,,,,,19,,,
B,1,203,17,,,,,10,,,
B,1,204,18,,,,,8,2,,
B,2,101,19,3,,,,13,3,,
B,2,102,18,2,1,,1,14,,,
B,2,103,19,5,,3,1,10,,,
B,2,104,15,3,3,3,,6,,,
B,2,201,16,0,,,,13,3,,
B,2,202,19,5,,,1,12,1,,
B,2,203,15,8,,,,7,,,
B,2,204,19,9,2,4,,4,,,
B,3,101,18,2,0,0,,13,3,,
B,3,102,18,3,0,0,1,13,1,,
B,3,103,17,3,2,3,,9,,,
B,3,104,18,8,3,3,,4,,,
B,3,201,21,3,0,,,17,1,,
B,3,202,20,3,0,2,,15,,,
B,3,203,20,3,2,2,1,12,,,
B,3,204,19,7,2,3,1,6,,,
B,4,101,8,2,0,0,,6,,,
B,4,102,15,3,0,0,,10,2,,
B,4,103,14,4,0,1,2,7,,,
B,4,104,19,6,0,6,1,6,,,
B,4,201,17,5,0,0,,11,1,,
B,4,202,13,4,0,0,,7,2,,
B,4,203,12,3,0,1,2,6,,,
B,4,204,18,7,3,4,1,3,,,
B,5,101,20,3,,,,15,2,,
B,5,102,20,2,,2,,13,3,,
B,5,103,18,2,2,4,,10,,,
B,5,104,20,8,2,4,,6,,,
B,5,201,19,2,,1,,16,,,
B,5,202,17,3,1,1,1,11,,,
B,5,203,15,4,2,4,,5,,,
B,6,101,17,2,,,,11,4,,
B,6,102,19,2,,1,,16,,1,
B,6,103,20,3,3,4,1,9,,,
B,6,104,19,7,2,4,,6,,,
B,6,201,17,3,,,,12,2,,
B,6,201,21,,,,,13,,,
B,6,202,15,6,,,,9,,,
B,6,202,17,,,,,8,2,,
B,6,203,16,6,2,3,1,4,,,
B,6,203,18,,,,,12,3,,
B,6,204,17,,,,,5,,,
B,6,205,16,,,,,1,,,
B,7,101,37,5,,,,31,1,,
B,7,102,16,2,,,1,13,,,
B,7,103,15,2,1,1,1,6,4,,
B,7,104,19,7,3,3,2,4,,,
B,7,201,19,3,,,,13,3,,
B,7,202,16,4,,,,12,,,
B,7,203,14,3,2,1,,8,,1,
B,8,101,20,2,,1,,15,2,,
