Device,Plant,Truss,Total flowers,Budding,Transition B to O,Open,Closed,Setting,Broken Sets,Out of sequence,Treated(Y/N)
A,1,101,18,,,,,16,,2,
A,1,102,19,,,,,15,,,
A,1,103,18,,,,,12,,,
A,1,201,15,,,,,15,,2,
A,1,202,14,,,,,13,,,
A,1,203,13,,,,,9,,,
A,1,204,16,,,,,4,,,
A,2,101,24,,,,,20,,,
A,2,102,21,,,,,18,,,
A,2,103,17,,,,,10,,,
A,2,104,19,,,,,5,,,
A,2,201,18,,,,,14,,,
A,2,202,15,,,,,14,,,
A,2,203,14,,,,,11,1,,
A,2,204,15,,,,,4,,,
A,3,101,14,,,,,14,,,
A,3,102,14,,,,,13,,,
A,3,103,11,,,,,11,,,
A,3,104,12,,,,,8,,,
A,3,201,12,,,,,12,,,
A,3,202,12,,,,,11,,,
A,3,203,16,,,,,14,,,
A,3,204,14,,,,,9,,,
A,4,101,19,,,,,19,,,
A,4,102,20,,,,,19,,,
A,4,103,19,,,,,15,,,
A,4,104,19,,,,,14,,,
A,4,201,14,,,,,12,1,,
A,4,202,18,,,,,16,,,
A,4,203,16,,,,,4,,,
A,4,204,14,,,,,9,,,
A,5,101,17,,,,,17,,,
A,5,102,18,,,,,16,1,,
A,5,103,18,,,,,14,1,,
A,5,104,19,,,,,13,,,
A,5,201,33,,,,,31,1,1,
A,5,202,16,,,,,15,,,
A,5,203,17,,,,,13,,,
A,5,204,16,,,,,4,,,
A,6,101,14,,,,,12,,,
A,6,102,10,,,,,10,,,
A,6,103,9,,,,,6,,,
A,6,201,23,,,,,22,1,,
A,6,202,13,,,,,11,1,,
A,6,203,10,,,,,6,,,
A,6,204,12,,,,,4,,,
A,7,101,33,,,,,28,2,1,
A,7,102,17,,,,,15,1,,
A,7,103,17,,,,,14,,,
A,7,201,26,,,,,25,,,
A,7,202,10,,,,,9,,,
A,7,203,9,,,,,6,,,
A,8,101,19,,,,,16,2,,
A,8,102,18,,,,,18,,,
A,8,103,20,,,,,16,1,,
A,8,104,18,,,,,12,1,,
A,8,201,19,,,,,17,1,,
A,8,202,18,,,,,17,,,
A,8,203,37,,,,,33,,,
A,8,204,16,,,,,5,,,
A,9,101,7,,,,,3,,,
A,9,102,7,,,,,5,,,
A,9,201,7,,,,,7,,,
A,9,202,6,,,,,6,,,
A,9,203,6,,,,,3,,,
A,10,102,6,,,,,2,,,
A,10,103,8,,,,,4,1,,
A,10,201,6,,,,,6,,,
A,10,202,8,,,,,6,,,
A,10,203,6,,,,,1,,,
A,11,101,8,,,,,3,,,
A,11,102,7,,,,,1,2,,
A,11,201,7,,,,,3,,,
A,11,202,7,,,,,3,,,
A,11,203,7,,,,,,,,
A,12,101,8,,,,,2,,,
A,12,102,7,,,,,2,,,
A,12,103,6,,,,,1,,,
A,12,201,7,,,,,4,,,
A,12,202,7,,,,,3,3,,
A,12,203,6,,,,,2,,,
A,13,101,7,,,,,5,,,
A,13,102,7,,,,,3,,,
A,13,201,7,,,,,7,,,
A,13,202,7,,,,,6,,,
A,13,203,7,,,,,2,,,
A,14,101,7,,,,,5,1,,
A,14,102,7,,,,,7,,,
A,14,103,7,,,,,5,,,
A,14,104,5,,,,,,,,
A,14,201,4,,,,,4,,,
A,14,202,7,,,,,6,,,
A,14,204,7,,,,,2,,,
B,1,101,15,,,,,14,1,,
B,1,102,14,,,,,14,,,
B,1,103,14,,,,,12,,,
B,1,104,14,,,,,10,,,
B,1,201,11,,,,,11,,,
B,1,202,21,,,,,19,,,
B,1,203,11,,,,,10,,,
B,1,204,13,,,,,5,3,,
B,2,101,17,,,,,10,3,,
B,2,102,15,,,,,15,,,
B,2,103,16,,,,,15,,2,
B,2,104,16,,,,,8,,,
B,2,201,14,,,,,13,1,,
B,2,202,14,,,,,13,1,,
B,2,203,11,,,,,7,,,
B,2,204,18,,,,,4,1,,
B,3,101,16,,,,,13,3,,
B,3,102,15,,,,,14,,,
B,3,103,15,,,,,11,,,
B,3,201,19,,,,,18,,,
B,3,202,18,,,,,17,1,,
B,3,203,10,,,,,8,,,
B,3,204,16,,,,,6,,,
B,4,101,8,,,,,7,,,
B,4,102,12,,,,,10,1,,
B,4,103,11,,,,,9,1,2,
B,4,104,15,,,,,10,2,,
B,4,201,13,,,,,10,1,,
B,4,202,11,,,,,9,2,,
B,4,203,10,,,,,8,,,
B,4,204,16,,,,,6,,,
B,5,101,17,,,,,15,1,,
B,5,102,19,,,,,15,3,,
B,5,103,16,,,,,12,,,
B,5,104,20,,,,,10,,,
B,5,201,18,,,,,17,,,
B,5,202,16,,,,,13,,,
B,5,203,12,,,,,6,,,
B,6,101,16,,,,,11,5,1,
B,6,102,18,,,,,16,,1,
B,6,103,18,,,,,12,,,
B,6,104,19,,,,,6,1,,
B,6,202,9,,,,,9,,,
B,6,203,15,,,,,7,,,
B,7,101,37,,,,,29,2,,
B,7,102,17,,,,,15,,,
B,7,103,15,,,,,8,4,,
B,7,104,20,,,,,11,,,
B,7,201,20,,,,,13,3,,
B,7,202,15,,,,,12,,,
B,7,203,16,,,,,10,,,
B,8,101,19,,,,,15,,,
B,8,102,20,,,,,18,,,
B,8,103,15,,,,,9,3,,
B,8,104,9,,,,,8,,,
B,8,201,15,,,,,12,,,
B,8,202,15,,,,,5,,,
B,9,101,8,,,,,6,,,
B,9,102,6,,,,,3,,,
B,9,103,7,,,,,,,,
B,9,201,7,,,,,4,3,,
B,9,202,6,,,,,3,,,
B,9,203,7,,,,,,2,,
B,10,101,8,,,,,8,,2,
B,10,102,8,,,,,3,,,
B,10,103,7,,,,,3,,,
B,10,201,7,,,,,7,,,
B,10,202,8,,,,,3,,,
B,10,203,9,,,,,5,,,
B,10,204,8,,,,,,,,
B,11,101,6,,,,,1,1,3,
B,11,201,8,,,,,3,,,
B,11,202,7,,,,,6,,,
B,11,203,8,,,,,1,,,
B,12,101,8,,,,,3,,,
B,12,102,7,,,,,1,,,
B,12,103,7,,,,,3,,,
B,12,201,8,,,,,4,,,
B,12,202,6,,,,,6,,,
B,12,203,5,,,,,2,,,
B,13,101,7,,,,,2,,,
B,13,101,7,,,,,2,,,
B,13,102,7,,,,,,,,
B,13,102,7,,,,,0,,,
B,13,201,8,,,,,4,,,
B,13,201,8,,,,,4,,,
B,13,202,7,,,,,2,,,
B,13,202,8,,,,,2,,,
B,13,203,7,,,,,,,,
B,13,203,7,,,,,0,,,
B,14,101,7,,,,,3,,,
B,14,101,7,,,,,3,,,
B,14,102,8,,,,,2,,,
B,14,102,6,,,,,2,,,
B,14,103,7,,,,,,,,
B,14,103,7,,,,,0,,,
B,14,201,7,,,,,4,,,
B,14,201,8,,,,,4,,,
B,14,202,7,,,,,4,,,
B,14,202,7,,,,,4,,,
B,14,203,7,,,,,1,,,
B,14,203,7,,,,,1,,,
C,1,101,30,,,,,26,2,5,
C,1,102,12,,,,,12,,,
C,1,103,12,,,,,10,,,
C,1,104,12,,,,,8,,,
C,1,201,29,,,,,27,2,4,
C,1,202,17,,,,,16,,,
C,1,203,14,,,,,13,,,
C,1,204,11,,,,,8,,,
C,2,101,21,,,,,19,,,
C,2,102,18,,,,,15,,,
C,2,103,17,,,,,9,,,
C,2,201,17,,,,,15,,,
C,2,202,16,,,,,13,,,
C,2,203,12,,,,,7,,,
C,3,101,18,,,,,16,1,,
C,3,102,15,,,,,14,,,
C,3,103,11,,,,,9,1,,
