Broken_Sets,Budding,Closed,Device,Open,Out_of_Sequence,Out_of_sequence,Plant,Setting,Test_Day,Test_Month,Test_Year,Total_flowers,Transition_B_to_O,Truss
0.0,9.0,0.0,1,0.0,0,,1,0.0,19,2,2016,9.0,0.0,101
0.0,10.0,0.0,1,0.0,0,,1,0.0,19,2,2016,12.0,2.0,201
0.0,8.0,0.0,1,0.0,0,,2,0.0,19,2,2016,10.0,2.0,101
0.0,7.0,0.0,1,0.0,0,,2,0.0,19,2,2016,11.0,4.0,201
0.0,7.0,0.0,1,0.0,0,,3,0.0,19,2,2016,12.0,5.0,101
0.0,9.0,0.0,1,0.0,0,,3,0.0,19,2,2016,12.0,3.0,201
0.0,9.0,0.0,1,0.0,0,,4,0.0,19,2,2016,13.0,4.0,101
0.0,10.0,0.0,1,0.0,0,,4,0.0,19,2,2016,13.0,3.0,201
0.0,8.0,0.0,1,0.0,0,,5,0.0,19,2,2016,12.0,4.0,101
0.0,21.0,0.0,1,0.0,0,,5,0.0,19,2,2016,24.0,3.0,201
0.0,9.0,0.0,1,0.0,0,,6,0.0,19,2,2016,13.0,4.0,101
0.0,14.0,0.0,1,0.0,0,,6,0.0,19,2,2016,20.0,6.0,201
0.0,19.0,0.0,1,0.0,0,,7,0.0,19,2,2016,19.0,0.0,101
0.0,20.0,0.0,1,0.0,0,,7,0.0,19,2,2016,24.0,4.0,201
0.0,11.0,0.0,1,0.0,0,,8,0.0,19,2,2016,14.0,3.0,101
0.0,12.0,0.0,1,0.0,0,,8,0.0,19,2,2016,15.0,3.0,201
0.0,8.0,0.0,1,0.0,0,,9,0.0,19,2,2016,8.0,0.0,101
0.0,7.0,0.0,1,0.0,0,,9,0.0,19,2,2016,7.0,0.0,201
0.0,8.0,0.0,1,0.0,0,,10,0.0,19,2,2016,8.0,0.0,201
0.0,4.0,0.0,1,0.0,0,,10,0.0,19,2,2016,7.0,3.0,101
0.0,7.0,0.0,1,0.0,0,,11,0.0,19,2,2016,7.0,0.0,201
0.0,6.0,0.0,1,0.0,0,,11,0.0,19,2,2016,7.0,1.0,101
0.0,7.0,0.0,1,0.0,0,,12,0.0,19,2,2016,7.0,0.0,101
0.0,5.0,0.0,1,0.0,0,,12,0.0,19,2,2016,7.0,2.0,201
0.0,8.0,0.0,1,0.0,0,,13,0.0,19,2,2016,8.0,0.0,101
0.0,8.0,0.0,1,0.0,0,,13,0.0,19,2,2016,8.0,0.0,201
0.0,3.0,0.0,1,0.0,0,,14,0.0,19,2,2016,6.0,3.0,101
0.0,7.0,0.0,1,0.0,0,,14,0.0,19,2,2016,7.0,0.0,201
0.0,12.0,0.0,2,0.0,0,,1,0.0,19,2,2016,15.0,3.0,201
0.0,12.0,0.0,2,0.0,0,,1,0.0,19,2,2016,15.0,3.0,101
0.0,11.0,0.0,2,0.0,0,,2,0.0,19,2,2016,14.0,3.0,201
0.0,10.0,0.0,2,0.0,0,,2,0.0,19,2,2016,14.0,4.0,101
0.0,12.0,0.0,2,0.0,0,,3,0.0,19,2,2016,16.0,4.0,201
0.0,9.0,0.0,2,0.0,0,,3,0.0,19,2,2016,11.0,2.0,101
0.0,14.0,0.0,2,0.0,0,,4,0.0,19,2,2016,15.0,1.0,201
0.0,8.0,0.0,2,0.0,0,,4,0.0,19,2,2016,11.0,3.0,101
0.0,11.0,0.0,2,0.0,0,,5,0.0,19,2,2016,11.0,0.0,201
0.0,10.0,0.0,2,0.0,0,,5,0.0,19,2,2016,14.0,4.0,101
0.0,10.0,0.0,2,0.0,0,,6,0.0,19,2,2016,10.0,0.0,201
0.0,8.0,0.0,2,0.0,0,,6,0.0,19,2,2016,11.0,3.0,101
0.0,14.0,0.0,2,0.0,0,,7,0.0,19,2,2016,14.0,0.0,201
0.0,22.0,0.0,2,0.0,0,,7,0.0,19,2,2016,27.0,5.0,101
0.0,0.0,0.0,2,0.0,0,,8,0.0,19,2,2016,0.0,0.0,201
0.0,11.0,0.0,2,0.0,0,,8,0.0,19,2,2016,14.0,3.0,101
0.0,4.0,0.0,2,0.0,0,,9,0.0,19,2,2016,7.0,3.0,201
0.0,8.0,0.0,2,0.0,0,,9,0.0,19,2,2016,8.0,0.0,101
0.0,6.0,0.0,2,0.0,0,,10,0.0,19,2,2016,7.0,1.0,201
