Device,Plant,Truss,Total flowers,Budding,Transition B to O,Open,Closed,Setting,Treated(Y/N),Difference
A,1,101,16,10,3,3,,,y,0
A,1,201,17,9,3,4,1,,y,0
A,1,202,16,12,4,0,,,n,0
A,2,101,21,12,2,4,2,1,y,0
A,2,102,16,14,2,0,,,n,0
A,2,201,19,10,3,2,2,2,y,0
A,2,202,16,12,4,0,,,n,0
A,3,101,18,9,2,4,2,1,y,0
A,3,102,16,11,4,1,,,n,0
A,3,201,16,7,4,3,2,,y,0
A,3,202,15,12,3,0,,,n,0
A,4,101,21,11,3,4,1,2,y,0
A,4,102,17,12,3,2,,,y,0
A,4,201,18,9,2,3,2,2,y,0
A,4,202,16,12,3,1,,,n,0
A,5,101,17,8,3,2,3,1,y,0
A,5,102,16,12,3,1,,,n,0
A,5,201,36,21,6,5,4,,y,0
A,5,202,15,14,1,0,,,n,0
A,6,101,17,8,3,3,2,1,y,0
A,6,102,13,11,2,0,,,n,0
A,6,201,31,16,6,3,5,1,y,0
A,6,202,16,14,2,0,,,n,0
A,7,101,28,22,2,4,,,y,0
A,7,201,31,19,5,6,1,,y,0
A,7,202,14,12,2,0,,,n,0
A,8,101,18,10,2,3,2,1,y,0
A,8,102,17,12,3,2,,,y,0
A,8,201,17,8,3,1,3,2,y,0
A,8,202,16,13,3,0,,,n,0
A,9,101,6,3,0,3,,,y,0
A,9,201,7,2,2,3,,,y,0
A,10,101,7,1,1,3,2,,y,0
A,10,102,7,6,1,0,,,n,0
A,10,201,7,2,3,2,,,y,0
A,11,101,8,3,2,3,,,y,0
A,11,201,7,4,1,2,,,y,0
A,12,101,7,3,2,2,,,y,0
A,12,201,7,1,2,4,,,y,0
A,13,101,7,4,1,2,,,y,0
A,13,201,8,4,2,2,,,y,0
A,14,101,6,1,0,3,1,1,y,0
A,14,102,7,3,2,2,,,y,0
A,14,201,7,2,3,2,,,y,0
B,1,101,17,8,4,4,,1,y,0
B,1,102,16,11,4,1,,,n,0
B,1,201,16,8,3,3,2,,y,0
B,1,202,27,21,5,1,,,n,0
B,2,101,17,8,3,5,,1,y,0
B,2,102,16,11,4,1,,,n,0
B,2,201,16,7,3,3,3,,y,0
B,2,202,15,11,2,2,,,n,0
B,3,101,15,10,2,,2,1,y,0
B,3,102,14,13,1,,,,n,0
B,3,201,18,8,4,3,2,1,y,0
B,3,202,17,14,2,1,,,n,0
B,4,101,11,4,2,3,1,1,y,0
B,4,102,15,11,4,,,,n,0
B,4,201,16,9,3,3,1,,y,0
B,4,202,14,13,1,,,,n,0
B,5,101,19,10,3,6,,,y,0
B,5,102,16,13,3,,,,n,0
B,5,201,17,11,4,1,1,,y,0
B,6,101,12,7,,3,1,1,y,0
B,6,102,16,12,4,,,,n,0
B,6,201,16,11,3,2,,,y,0
B,7,101,35,19,6,10,,,y,0
B,7,102,16,13,3,,,,n,0
B,7,201,18,12,2,2,2,,y,0
B,7,202,14,14,,,,,n,0
B,8,101,18,10,2,4,,2,y,0
B,8,102,15,13,2,,,,n,0
B,8,201,12,12,,,,,n,0
B,9,101,7,2,2,3,,,y,0
B,9,201,7,0,,4,3,,y,0
B,9,202,7,4,3,,,,n,0
B,10,101,7,0,2,5,,,y,0
B,10,201,7,1,2,4,,,y,0
B,10,202,8,8,,,,,n,0
B,11,101,7,7,,,,,n,0
B,11,201,8,2,1,4,1,,y,0
B,12,101,8,1,2,4,1,,y,0
B,12,201,7,0,2,4,1,,y,0
B,13,101,7,2,2,3,,,y,0
B,13,201,8,4,2,2,,,y,0
B,14,101,7,1,2,4,,,y,0
B,14,201,8,3,1,4,,,y,0
C,1,101,35,21,4,5,3,2,y,0
C,1,102,17,12,4,1,,,y,0
C,1,201,36,20,4,9,2,1,y,0
C,1,202,17,12,3,2,,,y,0
C,2,101,18,12,4,2,,,y,0
C,2,201,17,11,3,2,1,,y,0
C,3,101,18,10,3,2,3,,y,0
C,3,102,14,12,2,0,,,n,0
C,3,201,17,12,3,1,1,,y,0
C,3,202,11,11,0,0,,,n,0
C,4,101,18,11,2,2,2,1,y,0
C,4,102,15,11,2,2,,,n,0
C,4,201,39,22,6,5,3,3,y,0
C,4,202,16,13,2,1,,,n,0
C,5,101,20,12,2,2,2,2,y,0
C,5,102,14,11,3,0,,,n,0
C,5,201,32,15,8,7,1,1,y,0
C,5,202,16,13,3,0,,,n,0
C,6,101,18,10,3,3,2,,y,0
C,6,102,14,13,1,0,,,n,0
C,6,201,18,8,3,3,2,2,y,0
C,6,202,14,12,2,0,,,n,0
C,7,101,30,16,6,3,4,1,y,0
C,7,102,11,11,0,0,,,n,0
C,7,201,33,17,6,1,6,3,y,0
C,7,202,16,12,3,1,,,n,0
C,8,101,16,9,2,3,2,,y,0
C,8,102,15,13,2,,,,n,0
C,8,201,28,14,6,3,5,,y,0
C,8,202,15,13,2,,,,n,0
C,9,101,8,3,2,3,,,y,0
C,9,102,7,7,,,,,n,0
C,9,201,8,6,1,1,,,y,0
C,10,101,8,4,2,2,,,y,0
C,10,102,7,7,,,,,n,0
C,10,201,7,3,2,2,,,y,0
C,11,101,6,1,1,4,,,y,0
C,11,201,7,2,2,3,,,y,0
C,12,101,6,3,1,1,1,,y,0
C,12,201,7,2,2,3,,,y,0
C,13,101,7,2,3,2,,,y,0
C,13,201,7,3,2,2,,,y,0
C,14,101,7,1,2,2,2,,y,0
C,14,201,7,2,2,3,,,y,0
E,1,101,16,10,1,4,1,,n,0
E,1,102,14,14,,,,,n,0
E,1,201,17,12,2,3,,,n,0
E,1,202,12,12,,,,,n,0
E,2,101,12,8,3,1,,,n,0
E,2,201,16,15,1,,,,n,0
